collection_no,formation,lng,lat,collection_name,n_occs,early_interval,late_interval,max_ma,min_ma
3256,,-1.166667,51.083332,M27 Motorway,1,Early Eocene,Middle Eocene,56.0,37.71
3257,,-1.166667,51.083332,M27 Motorway,1,Early Eocene,Middle Eocene,56.0,37.71
3534,Moodys Branch,-92.147224,32.234165,Montgomery Landing (Moodys Branch),1,Bartonian,,41.03,37.71
5195,Paw Paw,-97.300003,32.866669,SMU Loc. 263 (upper Paw Paw Fm.),1,Late Albian,,106.3,100.5
8019,Lopez de Bertodano,-56.75,-64.25,"Unit 10, Lopez de Bertodano FM., Seymour Island",1,Danian,,66.0,61.66
8050,London Clay,-0.65,50.783333,"Bognor Regis, London Clay",4,Ypresian,,56.0,48.07
10755,Tuchengzi,123.966698,42.9333,"Ershijiazi, Chaoyang",2,Late Kimmeridgian,Valanginian,152.21,132.6
10760,Sînpetru,22.9158,45.547501,Garjobel,5,Early Maastrichtian,,72.2,66.0
10764,Yixian,120.73333,41.799999,"Sihetun, Yixian Member 3 (general)",2,Late Barremian,Early Aptian,125.77,119.57
11582,Baruungoyot,99.599998,43.299999,"Khermeen Tsav, Red Beds (PIN coll. 3142) [SMPE]",14,Middle Campanian,Late Campanian,83.6,72.2
11601,Jewett,-118.848335,35.492779,Pyramid Hill Sand Member grit zone,1,Chattian,,27.3,23.04
11604,Lameta,80.366669,21.183332,Dongargaon Hill,1,Maastrichtian,,72.2,66.0
11611,Morrison,-108.995796,39.2383,"Mygatt-Moore Quarry, lower mudstone",13,Kimmeridgian,Tithonian,154.8,143.1
11798,,102.066666,25.016666,Lufeng,6,Tortonian,,11.63,7.246
11890,Dinosaur Park,-111.528732,50.740726,"RTMP Quarry 6, Sand Creek [AMNH]",1,Late Campanian,,83.6,72.2
11892,Dinosaur Park,-111.461914,50.753296,"RTMP Quarry 95, Steveville (ROM)",1,Late Campanian,,83.6,72.2
11893,Dinosaur Park,-111.549347,50.737015,"RTMP Quarry 48, Steveville (UA)",1,Late Campanian,,83.6,72.2
11894,Dinosaur Park,-111.528931,50.737297,RTMP Quarry 217,1,Late Campanian,,83.6,72.2
11895,Dinosaur Park,-111.564636,50.723866,"RTMP Quarry 74, Steveville",1,Late Campanian,,83.6,72.2
11896,Dinosaur Park,-111.525337,50.740471,"RTMP Quarry 106, Sand Creek (75 ft level) [AMNH]",1,Late Campanian,,83.6,72.2
11897,Dinosaur Park,-111.601021,50.786999,"RTMP Quarry 36, Berry Creek",1,Late Campanian,,83.6,72.2
11898,Scollard,-112.981903,51.8046,"east bank Red Deer River, GSC (NMC 5601)",1,Late Maastrichtian,,72.2,66.0
11899,Horseshoe Canyon,-112.981903,51.819099,2 miles below Tolman Ferry (150 ft level) [AMNH],3,Early Maastrichtian,,72.2,66.0
11900,Horseshoe Canyon,-112.818901,51.542702,"2.5 miles above Bleriot ferry, Red Deer River (ROM)",1,Early Maastrichtian,,72.2,66.0
11901,Horseshoe Canyon,-112.8423,51.469898,"Kneehills Creek, GSC (NMC 5600)",1,Early Maastrichtian,,72.2,66.0
11902,Horseshoe Canyon,-112.702202,51.4408,"Drumheller, Red Deer River (NMC Loc. 5)",1,Early Maastrichtian,,72.2,66.0
11903,Oldman,-110.681999,49.083698,Manyberries (NMC 11594),1,Late Campanian,,83.6,72.2
11904,Dinosaur Park,-111.511902,50.742401,"RTMP Quarry 236, Steveville (NMC 350)",1,Late Campanian,,83.6,72.2
11915,Oldman,-111.485008,50.751526,"RTMP Quarry 72, Steveville, (NMC)",1,Middle Campanian,,83.6,72.2
11916,Horseshoe Canyon,-112.934799,51.928299,"South bank of Red Deer River, upstream of Tolman Bridge",1,Early Maastrichtian,,72.2,66.0
11917,Scollard,-113.0289,51.906399,Knudsen's Coulee (NMC 9954),1,Late Maastrichtian,,72.2,66.0
11918,Scollard,-113.23333,51.933334,East of Huxley (NMC 9550),1,Late Maastrichtian,,72.2,66.0
11919,Oldman,-111.529999,50.77,near mouth of Sandhill Creek (50 ft level) [NMC],1,Late Campanian,,83.6,72.2
11920,Portland,-72.633331,41.566666,"""Middlebury"" quarry (Middletown)",1,Hettangian,Sinemurian,201.4,192.9
11923,Cerro Carnerero,-69.51667,-43.966667,"East Slope, Sierra Pampa de Agnía",1,Pliensbachian,Early Toarcian,192.9,182.9
11924,Morrison,-108.699989,39.068802,"Riggs Quarry 12, Fruita (FMNH)",1,Kimmeridgian,Tithonian,154.8,143.1
11925,Morrison,-108.717499,39.111668,"Riggs Quarry 14, Fruita (FMNH)",1,Kimmeridgian,,154.8,149.2
11931,Hell Creek,-106.569901,47.637699,"upper end, Gilbert Creek",2,Late Maastrichtian,,72.2,66.0
11932,Antlers,-96.278053,34.18,OMNH V611,1,Late Aptian,Early Albian,119.57,110.1
12584,Fruitland,-107.966393,36.06028,OMNH 40-V,1,Late Campanian,,83.6,72.2
12585,Huriwai Measures,174.71666,-37.383331,Huriwai Measures,1,Puaroan,,150.0,143.1
12816,Morrison,-106.00222,41.893055,"Quarry 9, Como Bluff (YPM)",16,Kimmeridgian,Tithonian,154.8,143.1
12840,,1.733333,44.166668,Le Bretou,7,Bartonian,,41.03,37.71
12841,Perriere,1.731667,44.349998,Les Pradigues,1,Priabonian,,37.71,33.9
12845,,1.566667,44.383331,Escamps C,1,MP 19,,37.71,33.9
12846,,1.566667,44.383331,Escamps X,1,MP 19,,37.71,33.9
12847,Calcaire de Saint-Ouen,3.35,49.133331,Grisolles,1,Bartonian,,41.03,37.71
12850,Perrière,1.433333,44.383331,Perrière,3,Late Eocene,,37.71,33.9
12851,,1.731944,44.366669,Gousnat,1,MP 18,,37.71,33.9
12855,El Molino,-65.940002,-17.687,Pajcha Pata,2,Late Maastrichtian,,72.2,66.0
12954,Jebel Qatrani,30.583332,29.450001,Quarry I (Jebel Qatrani Formation),4,Rupelian,,33.9,27.3
12960,Jebel Qatrani,30.583332,29.450001,Quarry M (Jebel Qatrani Formation),11,Rupelian,,33.9,27.3
12964,Jebel Qatrani,30.583332,29.450001,Quarry A-1 (Jebel Qatrani Formation),2,Rupelian,,33.9,27.3
12968,Jebel Qatrani,30.583332,29.450001,Quarry E (Jebel Qatrani Formation),1,Rupelian,,33.9,27.3
12977,Hell Creek,-106.227776,47.695831,MPM locality 3850 (Hell Creek Formation),2,Maastrichtian,,72.2,66.0
13000,Menefee,-107.199997,35.700001,NMMNH locality L-3034,2,Early Campanian,Middle Campanian,83.6,72.2
13065,Maradah,20.5,28.0,Gebel Zelten site 6412,1,Burdigalian,,20.45,15.98
13066,,-84.800003,34.200001,Ladd's Quarry,6,Late Pleistocene,,0.129,0.0117
