occurrence_no,collection_no,accepted_name,accepted_rank,early_interval,late_interval,max_ma,min_ma
41524,3257,Aves,class,Early Eocene,Middle Eocene,56.0,37.71
41580,3256,Aves,class,Early Eocene,Middle Eocene,56.0,37.71
130209,10755,Chaoyangsaurus youngi,species,Late Kimmeridgian,Valanginian,152.21,132.6
130294,10764,Protarchaeopteryx robusta,species,Late Barremian,Early Aptian,125.77,119.57
130295,10764,Caudipteryx zoui,species,Late Barremian,Early Aptian,125.77,119.57
138867,22634,Dinosauria,unranked clade,Berriasian,Aptian,143.1,113.2
139242,11890,Gorgosaurus libratus,species,Late Campanian,,83.6,72.2
139249,11892,Hadrosauridae,family,Late Campanian,,83.6,72.2
139250,11893,Gorgosaurus libratus,species,Late Campanian,,83.6,72.2
139251,11894,Centrosaurus apertus,species,Late Campanian,,83.6,72.2
139252,11895,Gorgosaurus libratus,species,Late Campanian,,83.6,72.2
139253,11896,Gorgosaurus libratus,species,Late Campanian,,83.6,72.2
139254,11897,Gorgosaurus libratus,species,Late Campanian,,83.6,72.2
139255,11898,Albertosaurus sarcophagus,species,Late Maastrichtian,,72.2,66.0
139256,11899,Albertosaurus sarcophagus,species,Early Maastrichtian,,72.2,66.0
139257,11900,Albertosaurus sarcophagus,species,Early Maastrichtian,,72.2,66.0
139258,11901,Albertosaurus sarcophagus,species,Early Maastrichtian,,72.2,66.0
139259,11902,Albertosaurus sarcophagus,species,Early Maastrichtian,,72.2,66.0
139260,11604,Isisaurus colberti,species,Maastrichtian,,72.2,66.0
139261,11903,Daspletosaurus torosus,species,Late Campanian,,83.6,72.2
139290,11915,Daspletosaurus torosus,species,Middle Campanian,,83.6,72.2
139291,11916,Albertosaurus sarcophagus,species,Early Maastrichtian,,72.2,66.0
139292,11917,Tyrannosaurus rex,species,Late Maastrichtian,,72.2,66.0
139293,11918,Tyrannosaurus rex,species,Late Maastrichtian,,72.2,66.0
139294,11919,Gryposaurus notabilis,species,Late Campanian,,83.6,72.2
139295,11920,Theropoda,unranked clade,Hettangian,Sinemurian,201.4,192.9
139306,11923,Amygdalodon patagonicus,species,Pliensbachian,Early Toarcian,192.9,182.9
139307,11924,Camarasaurus grandis,species,Kimmeridgian,Tithonian,154.8,143.1
139308,11925,Camarasaurus supremus,species,Kimmeridgian,,154.8,149.2
139340,11931,Ankylosaurus magniventris,species,Late Maastrichtian,,72.2,66.0
139341,11932,Titanosauriformes,unranked clade,Late Aptian,Early Albian,119.57,110.1
144305,10760,Saurornitholestes,genus,Early Maastrichtian,,72.2,66.0
144307,12584,Bistahieversor sealeyi,species,Late Campanian,,83.6,72.2
