taxon_no,accepted_name,accepted_rank,parent_no,is_extant,n_occs
91968,Dinosauria,unranked clade,53207,extant,37692
155998,Lagunculapes,genus,52775,extinct,1
155999,Lagunculapes latus,species,155998,extinct,1
156000,Xiphopeza,genus,52775,extinct,3
156001,Xiphopeza triplex,species,156000,extinct,3
358782,Megalosauridae,unranked clade,52775,extinct,16
66823,Tretospondylia,family,52775,,0
67919,Herreravia,superorder,52775,extinct,0
91056,Dinosauria,unranked clade,52775,extinct,1
91057,Yunnanpus huangcaoensis,species,91056,extinct,1
437789,Dongyangoolithidae,family,52775,extinct,3
437790,Multifissoolithus,genus,437789,extinct,3
467465,Multifissoolithus megadermus,species,437790,extinct,1
467468,Multifissoolithus shimonosekiensis,species,437790,extinct,1
437791,Multifissoolithus chianensis,species,437790,extinct,1
142687,Dongyangoolithus,genus,437789,extinct,0
142704,Dongyangoolithus nanmaensis,species,142687,extinct,0
310482,Phytophagi,unranked clade,52775,extinct,0
67913,Paleodinosauria,superorder,52775,extinct,0
38506,Staurikosauria,order,67913,extinct,0
155969,Plectropterna,genus,52775,extinct,27
156091,Plectropterna lineans,species,155969,extinct,4
156089,Plectropterna minitans,species,155969,extinct,10
155977,Plectropterna angusta,species,155969,extinct,2
155979,Plectropterna elegans,species,155969,extinct,2
156090,Plectropterna gracilis,species,155969,extinct,6
155975,Plectropterna,genus,52775,extinct,27
91969,Saurischia,unranked clade,52775,extant,29078
91972,Sauropodomorpha,unranked clade,38505,extinct,4157
378958,Unaysauridae,unranked clade,38633,extinct,4
243276,Jaklapallisaurus,genus,378958,extinct,2
243277,Jaklapallisaurus asymmetrica,species,243276,extinct,2
378959,Macrocollum,genus,378958,extinct,2
378960,Macrocollum itaquii,species,378959,extinct,2
66572,Guaibasauridae,family,38633,extinct,5
53364,Agnosphitys,genus,66572,extinct,1
53365,Agnosphitys cromhallensis,species,53364,extinct,1
258858,Saturnaliinae,subfamily,66572,extinct,0
66570,Guaibasaurus,genus,66572,extinct,3
66571,Guaibasaurus candelariensis,species,66570,extinct,2
64391,Efraasia,genus,38633,extinct,5
91403,Efraasia minor,species,64391,extinct,5
64393,Efraasia minor,species,64391,extinct,5
57411,Efraasia minor,species,64391,extinct,5
404561,Melanorosauria,infraorder,38633,extinct,0
131584,Eosauropus,genus,38633,extinct,20
131585,Eosauropus cimarronensis,species,131584,extinct,4
