"collection_no","record_type","authorization","release_on","formation","lng","lat","collection_name","container_no","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no"
"3256","col","","","","-1.166667","51.083332","M27 Motorway","","","1","Early Eocene","Middle Eocene","56","37.71","149"
"3257","col","","","","-1.166667","51.083332","M27 Motorway","","","1","Early Eocene","Middle Eocene","56","37.71","149"
"3534","col","","","Moodys Branch","-92.147224","32.234165","Montgomery Landing (Moodys Branch)","","","1","Bartonian","","41.03","37.71","124"
"5195","col","","","Paw Paw","-97.300003","32.866669","SMU Loc. 263 (upper Paw Paw Fm.)","","","1","Late Albian","","106.3","100.5","312"
"8019","col","","","Lopez de Bertodano","-56.750000","-64.250000","Unit 10, Lopez de Bertodano FM., Seymour Island","","","1","Danian","","66","61.66","531"
"8050","col","","","London Clay","-0.650000","50.783333","Bognor Regis, London Clay","","","4","Ypresian","","56","48.07","538"
"10755","col","","","Tuchengzi","123.966698","42.933300","Ershijiazi, Chaoyang","","Chaoyangsaurus type","2","Late Kimmeridgian","Valanginian","152.21","132.6","13360"
"10760","col","","","Sînpetru","22.915800","45.547501","Garjobel","","Gârjobel, Sânpetru, Girjobel","5","Early Maastrichtian","","72.2","66","4002"
"10764","col","","","Yixian","120.733330","41.799999","Sihetun, Yixian Member 3 (general)","","","2","Late Barremian","Early Aptian","125.77","119.57","19421"
"11582","col","","","Baruungoyot","99.599998","43.299999","Khermeen Tsav, Red Beds (PIN coll. 3142) [SMPE]","","Khermin Tsav, Khermin-Tsab, Hermiin Tsav, Soviet-Mongolian Paleontological Expedition","14","Middle Campanian","Late Campanian","83.6","72.2","59136"
"11601","col","","","Jewett","-118.848335","35.492779","Pyramid Hill Sand Member grit zone","","LACMVP Loc. 1603, 1626, 1627; UCMP Loc. V-7032","1","Chattian","","27.3","23.04","10315"
"11604","col","","","Lameta","80.366669","21.183332","Dongargaon Hill","","Isisaurus type site","1","Maastrichtian","","72.2","66","57058"
"11611","col","","","Morrison","-108.995796","39.238300","Mygatt-Moore Quarry, lower mudstone","","MWC Loc. 1.05.86, MWC Loc. 2, CO-21, main quarry, MMQ","13","Kimmeridgian","Tithonian","154.8","143.1","5767"
"11798","col","","","","102.066666","25.016666","Lufeng","","","6","Tortonian","","11.63","7.246","10883"
"11890","col","","","Dinosaur Park","-111.528732","50.740726","RTMP Quarry 6, Sand Creek [AMNH]","","Sternberg Quarry 54","1","Late Campanian","","83.6","72.2","36144"
"11892","col","","","Dinosaur Park","-111.461914","50.753296","RTMP Quarry 95, Steveville (ROM)","","Sternberg Quarry 78","1","Late Campanian","","83.6","72.2","33225"
"11893","col","","","Dinosaur Park","-111.549347","50.737015","RTMP Quarry 48, Steveville (UA)","","Sternberg Quarry 48, U.A.1","1","Late Campanian","","83.6","72.2","33225"
"11894","col","","","Dinosaur Park","-111.528931","50.737297","RTMP Quarry 217","","","1","Late Campanian","","83.6","72.2","16964"
"11895","col","","","Dinosaur Park","-111.564636","50.723866","RTMP Quarry 74, Steveville","","NMC, Sternberg Quarry 50, G.S.C.24","1","Late Campanian","","83.6","72.2","33225"
"11896","col","","","Dinosaur Park","-111.525337","50.740471","RTMP Quarry 106, Sand Creek (75 ft level) [AMNH]","","Sternberg quarry 57, A.M.8","1","Late Campanian","","83.6","72.2","33225"
"11897","col","","","Dinosaur Park","-111.601021","50.786999","RTMP Quarry 36, Berry Creek","","Red Deer River, Sternberg Quarry 36, Gorgosaurus type, G.S.C.6, NMC","1","Late Campanian","","83.6","72.2","17545"
"11898","col","","","Scollard","-112.981903","51.804600","east bank Red Deer River, GSC (NMC 5601)","","","1","Late Maastrichtian","","72.2","66","25123"
"11899","col","","","Horseshoe Canyon","-112.981903","51.819099","2 miles below Tolman Ferry (150 ft level) [AMNH]","","Red Deer River","3","Early Maastrichtian","","72.2","66","54104"
"11900","col","","","Horseshoe Canyon","-112.818901","51.542702","2.5 miles above Bleriot ferry, Red Deer River (ROM)","","","1","Early Maastrichtian","","72.2","66","12347"
"11901","col","","","Horseshoe Canyon","-112.842300","51.469898","Kneehills Creek, GSC (NMC 5600)","","Knee Hills Creek, Kirkpatrick Coulee, Dunphy","1","Early Maastrichtian","","72.2","66","25123"
"11902","col","","","Horseshoe Canyon","-112.702202","51.440800","Drumheller, Red Deer River (NMC Loc. 5)","","NMC 2196","1","Early Maastrichtian","","72.2","66","4205"
"11903","col","","","Oldman","-110.681999","49.083698","Manyberries (NMC 11594)","","","1","Late Campanian","","83.6","72.2","4205"
"11904","col","","","Dinosaur Park","-111.511902","50.742401","RTMP Quarry 236, Steveville (NMC 350)","","Q236","1","Late Campanian","","83.6","72.2","62883"
"11915","col","","","Oldman","-111.485008","50.751526","RTMP Quarry 72, Steveville, (NMC)","","Daspletosaurus type, Sternberg Quarry 88, G.S.C.23","1","Middle Campanian","","83.6","72.2","33225"
"11916","col","","","Horseshoe Canyon","-112.934799","51.928299","South bank of Red Deer River, upstream of Tolman Bridge","","Near Scollard","1","Early Maastrichtian","","72.2","66","4205"
"11917","col","","","Scollard","-113.028900","51.906399","Knudsen's Coulee (NMC 9954)","","East of Huxley","1","Late Maastrichtian","","72.2","66","4205"
"11918","col","","","Scollard","-113.233330","51.933334","East of Huxley (NMC 9550)","","Huxley T. rex","1","Late Maastrichtian","","72.2","66","4205"
"11919","col","","","Oldman","-111.529999","50.770000","near mouth of Sandhill Creek (50 ft level) [NMC]","","Sand Creek, RTMP Quarry 252","1","Late Campanian","","83.6","72.2","4206"
"11920","col","","","Portland","-72.633331","41.566666","""Middlebury"" quarry (Middletown)","","Portland","1","Hettangian","Sinemurian","201.4","192.9","78230"
"11923","col","","","Cerro Carnerero","-69.516670","-43.966667","East Slope, Sierra Pampa de Agnía","","Cañadón Puelman","1","Pliensbachian","Early Toarcian","192.9","182.9","4208"
"11924","col","","","Morrison","-108.699989","39.068802","Riggs Quarry 12, Fruita (FMNH)","","Redlands","1","Kimmeridgian","Tithonian","154.8","143.1","4209"
"11925","col","","","Morrison","-108.717499","39.111668","Riggs Quarry 14, Fruita (FMNH)","","","1","Kimmeridgian","","154.8","149.2","4209"
"11931","col","","","Hell Creek","-106.569901","47.637699","upper end, Gilbert Creek","","Ankylosaurus type","2","Late Maastrichtian","","72.2","66","4210"
"11932","col","","","Antlers","-96.278053","34.180000","OMNH V611","","Caddo, Atoka","1","Late Aptian","Early Albian","119.57","110.1","4211"
"12584","col","","","Fruitland","-107.966393","36.060280","OMNH 40-V","","Ah-Shi-Sle-Pah Wash","1","Late Campanian","","83.6","72.2","4247"
