"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","reference_no","is_extant","n_occs"
"52775","91968","txn","B","","Dinosauria","","52775","unranked clade","Dinosauria","53207","14071","extant","37692"
"155998","155998","txn","IF","","Lagunculapes","","155998","genus","Lagunculapes","52775","29531","extinct","1"
"155999","155999","txn","IF","","Lagunculapes latus","","155999","species","Lagunculapes latus","155998","29531","extinct","1"
"156000","156000","txn","IF","","Xiphopeza","","156000","genus","Xiphopeza","52775","30909","extinct","3"
"156001","156001","txn","IF","","Xiphopeza triplex","","156001","species","Xiphopeza triplex","156000","30909","extinct","3"
"358782","358782","txn","","","Megalosauridae","","358782","unranked clade","Megalosauridae","52775","23721","extinct","16"
"66823","66823","txn","","","Tretospondylia","","66823","family","Tretospondylia","52775","14068","","0"
"67919","67919","txn","","","Herreravia","","67919","superorder","Herreravia","52775","10350","extinct","0"
"91056","91056","txn","I","","Yunnanpus","nomen dubium","52775","unranked clade","Dinosauria","52775","19449","extinct","1"
"91057","91057","txn","I","","Yunnanpus huangcaoensis","","91057","species","Yunnanpus huangcaoensis","91056","19449","extinct","1"
"437789","437789","txn","F","","Dongyangoolithidae","","437789","family","Dongyangoolithidae","52775","76924","extinct","3"
"437790","437790","txn","F","","Multifissoolithus","","437790","genus","Multifissoolithus","437789","76924","extinct","3"
"68506","467465","txn","F","","Multifissoolithus megadermus","","68506","species","Multifissoolithus megadermus","437790","15565","extinct","1"
"467468","467468","txn","F","","Multifissoolithus shimonosekiensis","","467468","species","Multifissoolithus shimonosekiensis","437790","83819","extinct","1"
"437791","437791","txn","F","","Multifissoolithus chianensis","","437791","species","Multifissoolithus chianensis","437790","76924","extinct","1"
"142687","142687","txn","F","","Dongyangoolithus","","142687","genus","Dongyangoolithus","437789","29323","extinct","0"
"142704","142704","txn","F","","Dongyangoolithus nanmaensis","","142704","species","Dongyangoolithus nanmaensis","142687","29323","extinct","0"
"310482","310482","txn","","","Phytophagi","","310482","unranked clade","Phytophagi","52775","34613","extinct","0"
"67913","67913","txn","","","Paleodinosauria","","67913","superorder","Paleodinosauria","52775","10350","extinct","0"
"38506","38506","txn","","","Staurikosauria","","38506","order","Staurikosauria","67913","4783","extinct","0"
